_id,productGroupId,extract_time,categories0name,categories1name,categories1parentCategory1name,categories2name,categories3name,categories3parentCategory3name,categories4name,categories5name,categories5parentCategory5name,currency,description,endDate,imageUrl,link,name,productCount,products0productId,products0name,products0type,products0status,products0link,products0url0path,products0url0domain,products0typeAttributes0liveEntertainment0startDate,products0typeAttributes0liveEntertainment0location0name,products0typeAttributes0liveEntertainment0location0city,products0typeAttributes0liveEntertainment0location0postalCode,products0typeAttributes0liveEntertainment0location0geoLocation0longitude,products0typeAttributes0liveEntertainment0location0geoLocation0latitude,products0rating0count,products0rating0average,products0hasRecommendation,products1productId,products1name,products1type,products1status,products1link,products1url1path,products1url1domain,products1typeAttributes1liveEntertainment1startDate,products1typeAttributes1liveEntertainment1location1name,products1typeAttributes1liveEntertainment1location1city,products1typeAttributes1liveEntertainment1location1postalCode,products1typeAttributes1liveEntertainment1location1geoLocation1longitude,products1typeAttributes1liveEntertainment1location1geoLocation1latitude,products1rating1count,products1rating1average,products1hasRecommendation,rating.count,rating.average,startDate,status,url.path,url.domain,crossedOutPrice,ctaLabel,eventStatus,fromPrice,message,marketingLabels0id,marketingLabels0labelName,marketingLabels0fontColor,marketingLabels0backgroundColor,marketingLabels0trackingName,products1typeAttributes1liveEntertainment1endDate,products0typeAttributes0liveEntertainment0endDate,event_duration,description_length
67058154b18b8d701cd0c839,3413765,2024-10-08 21:00:36.174,Konzerte,Rock & Pop,Konzerte,,,,,,,EUR,Nach einem erfolgreichen Jahr 2023 geht es für Kasi direkt weiter: 2024 fährt Kasi auf Tour durchs ganze Land!,2024-11-13 19:00:00+00:00,https://www.eventim.de/obj/media/DE-eventim/teaser/222x222/2023/kasi-auf-tour-tickets-2023.jpg,https://www.eventim.de/artist/kasi/kasi-kasi-faehrt-auf-tour-2024-3413765/?affiliate=TUG,KASI - Kasi fährt auf Tour 2024,25,17911788,KASI - Kasi fährt auf Tour 2024,LiveEntertainment,SoldOut,https://www.eventim.de/event/kasi-kasi-faehrt-auf-tour-2024-hole-44-17911788/?affiliate=TUG,/event/kasi-kasi-faehrt-auf-tour-2024-hole-44-17911788/?affiliate=TUG,https://www.eventim.de,2024-10-26T20:00:00+02:00,Hole 44,Berlin,12051,13.400000013336157,52.51669998383651,2.0,5.0,False,,,,,,,,,,,,,,,,,2.0,5.0,2024-10-16 18:00:00+00:00,Available,/artist/kasi/kasi-kasi-faehrt-auf-tour-2024-3413765/?affiliate=TUG,https://www.eventim.de,,Tickets,AVAILABLE,"€ 29,95",Verfügbar,,,,,,,,28,110.0
67058154b18b8d701cd0c83a,2623140,2024-10-08 21:00:36.174,Konzerte,Rock & Pop,Konzerte,,,,,,,EUR,,2025-04-26 17:30:00+00:00,https://www.eventim.de/obj/mam/germany/a9/02/sono---the-2025-tour-tickets_254024_2288496_222x222.jpg,https://www.eventim.de/artist/sono/?affiliate=TUG,Sono - The 2025 Tour,9,18465946,Sono - The 2025 Tour,LiveEntertainment,Available,https://www.eventim.de/event/sono-the-2025-tour-lido-18465946/?affiliate=TUG,/event/sono-the-2025-tour-lido-18465946/?affiliate=TUG,https://www.eventim.de,2025-04-11T20:00:00+02:00,Lido,Berlin,10997,13.400000013336157,52.51669998383651,7.0,5.0,False,,,,,,,,,,,,,,,,,7.0,5.0,2025-03-28 18:30:00+00:00,Available,/artist/sono/?affiliate=TUG,https://www.eventim.de,,Tickets,AVAILABLE,"€ 37,90",Verfügbar,,,,,,,,28,
67058154b18b8d701cd0c83b,3624045,2024-10-08 21:00:36.174,Konzerte,Rock & Pop,Konzerte,,,,,,,EUR,Goat Girl im Oktober mit neuem Album für zwei Konzerte in Deutschland!,2024-10-13 18:00:00+00:00,https://www.eventim.de/obj/media/DE-eventim/teaser/222x222/2024/goat-girl-tickets-2024.jpg,https://www.eventim.de/artist/goat-girl/?affiliate=TUG,Goat Girl,3,18515952,Goat Girl - Support: Honey I’m Home,LiveEntertainment,SoldOut,https://www.eventim.de/event/goat-girl-privatclub-18515952/?affiliate=TUG,/event/goat-girl-privatclub-18515952/?affiliate=TUG,https://www.eventim.de,2024-10-13T20:00:00+02:00,Privatclub,Berlin,10997,13.400000013336157,52.51669998383651,0.0,0.0,False,,,,,,,,,,,,,,,,,0.0,0.0,2024-10-10 18:30:00+00:00,Available,/artist/goat-girl/?affiliate=TUG,https://www.eventim.de,,Tickets,AVAILABLE,"€ 23,70",Verfügbar,,,,,,,,2,70.0
67058154b18b8d701cd0c83c,3308922,2024-10-08 21:00:36.174,Konzerte,Rock & Pop,Konzerte,,,,,,,EUR,,2024-12-15 19:00:00+00:00,https://www.eventim.de/obj/mam/germany/60/98/tristan-brusch---am-wahn-tour-2024-tickets_257158_2310452_222x222.jpg,https://www.eventim.de/artist/tristan-brusch/?affiliate=TUG,Tristan Brusch - Am Wahn Tour 2024,7,18217952,Tristan Brusch - Am Wahn Tour 2024,LiveEntertainment,SoldOut,https://www.eventim.de/event/tristan-brusch-am-wahn-tour-2024-metropol-18217952/?affiliate=TUG,/event/tristan-brusch-am-wahn-tour-2024-metropol-18217952/?affiliate=TUG,https://www.eventim.de,2024-12-15T20:00:00+01:00,METROPOL,Berlin,10777 ,13.352827035094094,52.49886967793439,22.0,4.954500198364258,False,,,,,,,,,,,,,,,,,22.0,4.954500198364258,2024-10-09 18:00:00+00:00,Available,/artist/tristan-brusch/?affiliate=TUG,https://www.eventim.de,,Tickets,AVAILABLE,"€ 28,20",Verfügbar,,,,,,,,67,
67058154b18b8d701cd0c83d,3735009,2024-10-08 21:00:36.174,Konzerte,Rock & Pop,Konzerte,,,,,,,EUR,,2025-06-01 18:00:00+00:00,,https://www.eventim.de/artist/wylhem/?affiliate=TUG,Wylhem - Live 2025,3,19238824,Wylhem - Live 2025,LiveEntertainment,Available,https://www.eventim.de/event/wylhem-live-2025-badehaus-raw-gelaende-eingang-simon-dach-str--19238824/?affiliate=TUG,/event/wylhem-live-2025-badehaus-raw-gelaende-eingang-simon-dach-str--19238824/?affiliate=TUG,https://www.eventim.de,2025-06-01T20:00:00+02:00,Badehaus RAW-Gelände / Eingang Simon-Dach-Str.,Berlin,10245,13.400000013336157,52.51669998383651,0.0,0.0,False,,,,,,,,,,,,,,,,,0.0,0.0,2025-05-30 18:00:00+00:00,Available,/artist/wylhem/?affiliate=TUG,https://www.eventim.de,,Tickets,AVAILABLE,"€ 24,90",Verfügbar,,,,,,,,2,
67058154b18b8d701cd0c83e,2444267,2024-10-08 21:00:36.174,Konzerte,Weitere Konzerte,Konzerte,,,,,,,EUR,,2024-10-15 18:00:00+00:00,https://www.eventim.de/obj/media/DE-eventim/teaser/222x222/2024/hiatus-kaiyote-tickets-2024.jpg,https://www.eventim.de/artist/hiatus-kaiyote/?affiliate=TUG,Hiatus Kaiyote | Love Heart Cheat Code,1,18526402,Hiatus Kaiyote,LiveEntertainment,Available,https://www.eventim.de/event/hiatus-kaiyote-love-heart-cheat-code-huxleys-neue-welt-18526402/?affiliate=TUG,/event/hiatus-kaiyote-love-heart-cheat-code-huxleys-neue-welt-18526402/?affiliate=TUG,https://www.eventim.de,2024-10-15T20:00:00+02:00,Huxleys Neue Welt,Berlin,10967,13.400000013336157,52.51669998383651,3.0,4.0,False,,,,,,,,,,,,,,,,,3.0,4.0,2024-10-15 18:00:00+00:00,Available,/artist/hiatus-kaiyote/?affiliate=TUG,https://www.eventim.de,,Tickets,AVAILABLE,"€ 47,25",Verfügbar,,,,,,,,0,
67058154b18b8d701cd0c83f,2515636,2024-10-08 21:00:36.174,Konzerte,Rock & Pop,Konzerte,VIP & Extras,VIP & Specials,VIP & Extras,,,,EUR,,2024-12-12 19:00:00+00:00,https://www.eventim.de/obj/media/DE-eventim/teaser/222x222/2024/nik-kershaw-tickets-2024.jpg,https://www.eventim.de/artist/nik-kershaw/?affiliate=TUG,Nik Kershaw - The 1984 Tour,12,18204447,Meet & Greet Upgrade - Nik Kershaw,LiveEntertainment,Available,https://www.eventim.de/event/nik-kershaw-the-1984-tour-columbia-theater-18176025/?affiliate=TUG,/event/nik-kershaw-the-1984-tour-columbia-theater-18176025/?affiliate=TUG,https://www.eventim.de,2024-12-04T18:30:00+01:00,Columbia Theater,Berlin,10965,13.400000013336157,52.51669998383651,120.0,4.5,False,18176025,Nik Kershaw - The 1984 Tour,LiveEntertainment,Available,https://www.eventim.de/event/nik-kershaw-the-1984-tour-columbia-theater-18176025/?affiliate=TUG,/event/nik-kershaw-the-1984-tour-columbia-theater-18176025/?affiliate=TUG,https://www.eventim.de,2024-12-04T20:00:00+01:00,Columbia Theater,Berlin,10965,13.400000013336157,52.51669998383651,120.0,4.5,False,120.0,4.5,2024-12-04 17:30:00+00:00,Available,/artist/nik-kershaw/?affiliate=TUG,https://www.eventim.de,,Tickets,AVAILABLE,"€ 52,50",Verfügbar,,,,,,,,8,
67058154b18b8d701cd0c840,3638822,2024-10-08 21:00:36.174,Konzerte,Weitere Konzerte,Konzerte,,,,,,,,,2024-11-22 19:00:00+00:00,https://www.eventim.de/obj/mam/germany/43/1e/royel-otis-tickets_260105_2333032_222x222.jpg,https://www.eventim.de/artist/royel-otis/?affiliate=TUG,Royel Otis - Glory to Glory Tour 2024,5,18684840,Royel Otis,LiveEntertainment,SoldOut,https://www.eventim.de/event/royel-otis-glory-to-glory-tour-2024-metropol-18684840/?affiliate=TUG,/event/royel-otis-glory-to-glory-tour-2024-metropol-18684840/?affiliate=TUG,https://www.eventim.de,2024-11-05T20:00:00+01:00,METROPOL,Berlin,10777 ,13.352827035094094,52.49886967793439,0.0,0.0,False,,,,,,,,,,,,,,,,,0.0,0.0,2024-11-03 19:00:00+00:00,Available,/artist/royel-otis/?affiliate=TUG,https://www.eventim.de,,Infos anzeigen,NO_AMOUNT,,zur Zeit nicht verfügbar,,,,,,,,19,
67058154b18b8d701cd0c842,3734150,2024-10-08 21:00:36.174,Konzerte,HipHop & R’n‘B,Konzerte,,,,,,,EUR,,2025-02-08 18:00:00+00:00,https://www.eventim.de/obj/media/DE-eventim/teaser/222x222/2024/boondawg-tickets-2024.jpg,https://www.eventim.de/artist/boondawg/?affiliate=TUG,Boondawg,5,19165501,Boondawg,LiveEntertainment,Available,https://www.eventim.de/event/boondawg-privatclub-19165501/?affiliate=TUG,/event/boondawg-privatclub-19165501/?affiliate=TUG,https://www.eventim.de,2025-02-04T20:00:00+01:00,Privatclub,Berlin,10997,13.400000013336157,52.51669998383651,0.0,0.0,False,,,,,,,,,,,,,,,,,0.0,0.0,2025-02-03 20:00:00+00:00,Available,/artist/boondawg/?affiliate=TUG,https://www.eventim.de,,Tickets,AVAILABLE,"€ 27,15",Verfügbar,,,,,,,,4,
67058154b18b8d701cd0c843,3708692,2024-10-08 21:00:36.174,Konzerte,Rock & Pop,Konzerte,,,,,,,EUR,Richard Hawley: Mit nordenglischem Charme auf Deutschland-Tour,2024-11-29 19:00:00+00:00,https://www.eventim.de/obj/media/DE-eventim/teaser/222x222/2024/richard-hawley-tickets-2024.jpg,https://www.eventim.de/artist/richard-hawley/?affiliate=TUG,Richard Hawley,2,19013210,Richard Hawley,LiveEntertainment,Available,https://www.eventim.de/event/richard-hawley-metropol-19013210/?affiliate=TUG,/event/richard-hawley-metropol-19013210/?affiliate=TUG,https://www.eventim.de,2024-11-29T20:00:00+01:00,METROPOL,Berlin,10777 ,13.352827035094094,52.49886967793439,3.0,4.6666998863220215,False,,,,,,,,,,,,,,,,,3.0,4.6666998863220215,2024-11-27 19:00:00+00:00,Available,/artist/richard-hawley/?affiliate=TUG,https://www.eventim.de,,Tickets,AVAILABLE,"€ 35,20",Verfügbar,,,,,,,,2,62.0
